url,tipo,etiqueta_html,alcance
https://br.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://bs.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://bug.wikipedia.org/wiki/%E1%A8%93%E1%A8%97%E1%A8%80%E1%A8%97%E1%A8%84%E1%A8%99%E1%A8%89%E1%A8%97%E1%A8%90,enlace,<a href>,externa
https://bxr.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D1%8D%D0%B4%D0%B8,enlace,<a href>,externa
https://ca.wikipedia.org/wiki/Viquip%C3%A8dia,enlace,<a href>,externa
https://cantic.bnc.cat/registre/981058613293806706,enlace,<a href>,externa
https://catalogo.bn.gov.ar/F/?func=direct&local_base=BNA10&doc_number=000063204,enlace,<a href>,externa
https://catalogue.bnf.fr/ark:/12148/cb150837752,enlace,<a href>,externa
https://cbk-zam.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://cdo.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://ce.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8,enlace,<a href>,externa
https://ceb.wikipedia.org/wiki/Wikipedya,enlace,<a href>,externa
https://centrodecapitalismo.wordpress.com/2011/01/14/discurso-de-jimmy-wales-en-el-decimo-aniversario-de-wikipedia/,enlace,<a href>,externa
https://ch.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://chr.wikipedia.org/wiki/%E1%8F%AB%E1%8E%A9%E1%8F%87%E1%8F%97%E1%8F%AF,enlace,<a href>,externa
https://chy.wikipedia.org/wiki/Vekepete%27a,enlace,<a href>,externa
https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7,enlace,<a href>,externa
https://co.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/Category:Wikimedia%20servers,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/Category:Wikipedia,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/File:S%C5%82ubice_2014-10-19-112726_9.JPG,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/File:Wikipedia_sculpture_Poland_Slubice.jpg,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Q52%22,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/Special:UploadWizard?uselang=es,enlace,<a href>,externa
https://commons.wikimedia.org/wiki/Wikipedia,enlace,<a href>,externa
"https://content.time.com/time/specials/packages/article/0,28804,1975813_1975844_1976488,00.html",enlace,<a href>,externa
https://creativecommons.org/licenses/by-sa/4.0/deed.es,enlace,<a href>,externa
https://crh.wikipedia.org/wiki/Vikipediya,enlace,<a href>,externa
https://cs.wikipedia.org/wiki/Wikipedie,enlace,<a href>,externa
https://csb.wikipedia.org/wiki/Wikipedi%C3%B4,enlace,<a href>,externa
https://cu.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D1%94%D0%B4%D1%97%EA%99%97,enlace,<a href>,externa
